sentence,NotClitic2,LBE,NotSV,NounScram
Строить рабочие новую больницу будут.,1,0,1,1
Строить рабочие больницу будут новую.,1,0,1,1
Строить рабочие больницу новую будут.,1,0,1,1
Строить будут рабочие новую больницу.,0,0,1,0
Строить будут рабочие больницу новую.,0,0,1,1
Строить будут новую рабочие больницу.,0,0,1,0
Строить будут новую больницу рабочие.,0,0,1,1
Строить будут больницу рабочие новую.,0,0,1,1
Строить будут больницу новую рабочие.,0,0,1,1
Строить новую рабочие будут больницу.,1,0,1,0
Строить новую рабочие больницу будут.,1,0,1,1
Строить новую будут рабочие больницу.,1,0,1,0
Строить новую будут больницу рабочие.,1,0,1,1
Строить новую больницу рабочие будут.,1,0,1,1
Строить новую больницу будут рабочие.,1,0,1,1
Строить больницу рабочие будут новую.,1,0,1,1
Строить больницу рабочие новую будут.,1,0,1,1
Строить больницу будут рабочие новую.,1,0,1,1
Строить больницу будут новую рабочие.,1,0,1,1
Строить больницу новую рабочие будут.,1,0,1,1
Строить больницу новую будут рабочие.,1,0,1,1
Новую рабочие будут строить больницу.,1,1,0,0
Новую рабочие будут больницу строить.,1,1,0,1
Новую рабочие строить будут больницу.,1,1,0,0
Новую рабочие строить больницу будут.,1,1,0,1
Новую рабочие больницу будут строить.,1,1,0,1
Новую рабочие больницу строить будут.,1,1,0,1
Новую будут рабочие строить больницу.,0,1,0,0
Новую будут рабочие больницу строить.,0,1,0,1
Новую будут строить рабочие больницу.,0,1,1,0
Новую будут строить больницу рабочие.,0,1,1,1
Новую будут больницу рабочие строить.,0,1,0,1
Новую будут больницу строить рабочие.,0,1,1,1
Новую строить рабочие будут больницу.,1,1,1,0
Новую строить рабочие больницу будут.,1,1,1,1
Новую строить будут рабочие больницу.,1,1,1,0
Новую строить будут больницу рабочие.,1,1,1,1
Новую строить больницу рабочие будут.,1,1,1,1
Новую строить больницу будут рабочие.,1,1,1,1
Новую больницу рабочие будут строить.,1,1,0,1
Новую больницу рабочие строить будут.,1,1,0,1
Новую больницу будут рабочие строить.,1,1,0,1
Новую больницу будут строить рабочие.,1,1,1,1
Новую больницу строить рабочие будут.,1,1,1,1
Новую больницу строить будут рабочие.,1,1,1,1
Больницу рабочие будут строить новую.,1,0,0,1
Больницу рабочие будут новую строить.,1,1,0,1
Больницу рабочие строить будут новую.,1,0,0,1
Больницу рабочие строить новую будут.,1,0,0,1
Больницу рабочие новую будут строить.,1,1,0,1
Больницу рабочие новую строить будут.,1,1,0,1
Больницу будут рабочие строить новую.,0,0,0,1
Больницу будут рабочие новую строить.,0,1,0,1
Больницу будут строить рабочие новую.,0,0,1,1
Больницу будут строить новую рабочие.,0,0,1,1
Больницу будут новую рабочие строить.,0,1,0,1
Больницу будут новую строить рабочие.,0,1,1,1
Больницу строить рабочие будут новую.,1,0,1,1
Больницу строить рабочие новую будут.,1,0,1,1
Больницу строить будут рабочие новую.,1,0,1,1
Больницу строить будут новую рабочие.,1,0,1,1
Больницу строить новую рабочие будут.,1,0,1,1
Больницу строить новую будут рабочие.,1,0,1,1
Больницу новую рабочие будут строить.,1,1,0,1
Больницу новую рабочие строить будут.,1,1,0,1
Больницу новую будут рабочие строить.,1,1,0,1
Больницу новую будут строить рабочие.,1,1,1,1
Больницу новую строить рабочие будут.,1,1,1,1
Больницу новую строить будут рабочие.,1,1,1,1
